date,temperature,wind_speed,humidity,precipitation,latitude,longitude
3/10/2018,14.58091062,0.852945624,44.08685001,0.099956989,9.05806,38.76306
3/11/2018,16.47395477,0.543079256,35.03690523,0.002137676,9.05806,38.76306
3/12/2018,17.00912946,0.742037443,35.08203645,0.086203218,9.05806,38.76306
3/13/2018,15.91116041,1.59539944,50.37514582,0.092047614,9.05806,38.76306
3/14/2018,14.81577962,1.302255204,67.27406019,1.45585835,9.05806,38.76306
3/15/2018,14.29821612,0.978725363,72.69704201,4.892875601,9.05806,38.76306
3/16/2018,15.25358416,0.761660778,65.53249376,1.024487491,9.05806,38.76306
3/17/2018,14.4052597,1.10235521,74.73642921,1.908481121,9.05806,38.76306
3/18/2018,13.9634154,1.717065649,75.09089725,9.651082754,9.05806,38.76306
3/19/2018,14.03988101,2.122593375,73.72049689,2.103531314,9.05806,38.76306
3/20/2018,14.41228892,2.251253673,67.88396847,1.696869731,9.05806,38.76306
3/21/2018,14.42192167,1.855290279,62.01666194,0.923591852,9.05806,38.76306
3/22/2018,14.71429024,1.122966363,57.33078621,0.916555118,9.05806,38.76306
3/23/2018,15.1789636,0.795338574,55.93788247,1.109868288,9.05806,38.76306
3/24/2018,15.47796148,1.508550205,52.94006627,0.509235263,9.05806,38.76306
3/25/2018,15.25746625,2.001800293,45.41479977,0.067321548,9.05806,38.76306
3/26/2018,14.71518224,2.458024629,42.18911881,8.52E-04,9.05806,38.76306
3/27/2018,14.5978981,2.776673118,37.60017283,0.001721674,9.05806,38.76306
3/28/2018,15.21934408,2.851735785,41.59129862,1.57E-06,9.05806,38.76306
3/29/2018,14.94757996,2.219276832,56.76145488,1.939518687,9.05806,38.76306
3/30/2018,15.58963165,2.830220273,45.61391386,0.223857164,9.05806,38.76306
3/31/2018,15.06713575,2.355440266,51.31694539,0.509608604,9.05806,38.76306
4/1/2018,15.22637329,1.881147234,54.59610649,0.261683021,9.05806,38.76306
4/2/2018,15.06575228,1.922933166,60.29226484,1.269432902,9.05806,38.76306
4/3/2018,15.04033114,1.647109062,63.81479768,3.475233912,9.05806,38.76306
4/4/2018,15.02736944,0.937631994,68.10144353,6.779167056,9.05806,38.76306
4/5/2018,13.7653525,0.503556715,86.94274493,114.658612,9.05806,38.76306
4/6/2018,14.04419161,0.61054802,74.18655311,2.462908626,9.05806,38.76306
4/7/2018,14.34243418,0.805707111,83.36739081,32.03286231,9.05806,38.76306
4/8/2018,14.48138771,0.629621846,89.88826882,185.9085616,9.05806,38.76306
4/9/2018,13.95664622,0.748263405,81.85293614,8.986477406,9.05806,38.76306
4/10/2018,14.34776967,0.540978172,88.08204844,14.43650126,9.05806,38.76306
4/11/2018,13.48656362,1.131233892,84.59121232,10.16481519,9.05806,38.76306
4/12/2018,14.34323908,0.597232175,72.07763155,0.990641895,9.05806,38.76306
4/13/2018,13.96706861,0.907549443,89.86969043,19.99853465,9.05806,38.76306
4/14/2018,14.08148982,0.788912348,83.99895349,10.83655655,9.05806,38.76306
4/15/2018,14.72521044,0.547923467,76.8685945,1.524746418,9.05806,38.76306
4/16/2018,15.50234057,0.424816527,68.33404773,0.443955804,9.05806,38.76306
4/17/2018,14.93959134,0.878459224,69.51732468,1.128146052,9.05806,38.76306
4/18/2018,14.52574501,1.165195468,72.4390995,1.848712564,9.05806,38.76306
4/19/2018,13.87562141,1.13476458,81.15591935,11.1979723,9.05806,38.76306
4/20/2018,14.9378404,1.565140055,66.00443858,0.892478228,9.05806,38.76306
4/21/2018,14.21232313,0.728105093,82.21095415,19.19133463,9.05806,38.76306
4/22/2018,14.50015284,1.196891776,78.65344031,10.53923368,9.05806,38.76306
4/23/2018,14.80850436,1.751584688,67.77950843,0.911682844,9.05806,38.76306
4/24/2018,14.90423864,2.020694703,66.01185224,0.761497021,9.05806,38.76306
4/25/2018,15.27781448,1.322158821,66.28345654,0.914893759,9.05806,38.76306
4/26/2018,15.34078178,0.736302267,79.28171618,8.923122161,9.05806,38.76306
4/27/2018,14.82430038,0.462988552,89.20345331,17.49591424,9.05806,38.76306
4/28/2018,15.02302004,0.602027418,76.48108482,7.500774718,9.05806,38.76306
4/29/2018,14.04973818,0.674009009,89.94551291,13.56447652,9.05806,38.76306
4/30/2018,15.18005142,0.145531815,75.06618491,4.493790865,9.05806,38.76306
5/1/2018,14.05742416,0.803428837,88.42168678,18.10002625,9.05806,38.76306
5/2/2018,15.24035861,0.966285662,67.34301995,0.267225504,9.05806,38.76306
5/3/2018,15.14428037,1.380962873,66.92050821,0.718611479,9.05806,38.76306
5/4/2018,15.29233576,1.759034514,60.7622364,0.192779302,9.05806,38.76306
5/5/2018,15.12385585,2.299973185,62.76779057,0.576030918,9.05806,38.76306
5/6/2018,15.05593707,1.732461752,65.03558631,0.459957123,9.05806,38.76306
5/7/2018,14.75145747,1.491922589,72.96568849,2.4099755,9.05806,38.76306
5/8/2018,15.65463346,1.549883952,61.53344336,1.164197922,9.05806,38.76306
5/9/2018,16.05241292,1.563089052,44.1949731,5.96E-05,9.05806,38.76306
5/10/2018,15.6825634,1.960599838,49.09553679,0.064128637,9.05806,38.76306
5/11/2018,15.24551544,2.425492962,52.3421054,0.013378552,9.05806,38.76306
5/12/2018,15.62970695,2.493511392,51.22593224,0.009670854,9.05806,38.76306
5/13/2018,15.69285355,2.545774823,51.10162157,0.413775444,9.05806,38.76306
5/14/2018,15.97459691,2.873127595,53.3792669,0.015336275,9.05806,38.76306
5/15/2018,15.31840286,2.148886733,56.76391388,1.834243536,9.05806,38.76306
5/16/2018,15.6976855,0.936592148,56.88752929,1.871323782,9.05806,38.76306
5/17/2018,15.08226738,0.485223784,68.5850735,2.313715219,9.05806,38.76306
5/18/2018,15.43783531,0.738955489,67.84829272,1.997131109,9.05806,38.76306
5/19/2018,14.47265333,0.273698705,85.60688646,19.45495605,9.05806,38.76306
5/20/2018,13.82278722,0.364367556,82.6921591,4.935824871,9.05806,38.76306
5/21/2018,12.58641968,1.044612527,92.45273515,11.80451753,9.05806,38.76306
5/22/2018,13.41668409,1.503001324,78.97415768,2.216998621,9.05806,38.76306
5/23/2018,14.45247739,0.974014334,69.42680909,1.448208094,9.05806,38.76306
5/24/2018,13.62333577,0.942886042,93.43246847,175.3935754,9.05806,38.76306
5/25/2018,13.86681519,0.196316446,87.20053594,22.60850365,9.05806,38.76306
5/26/2018,13.74320183,0.859560725,89.36868661,18.04845457,9.05806,38.76306
5/27/2018,14.08197746,0.493555272,87.31887415,10.55586876,9.05806,38.76306
5/28/2018,13.96524264,1.150865697,88.6313002,12.4592334,9.05806,38.76306
5/29/2018,14.42543818,0.814522327,88.84635763,60.66144236,9.05806,38.76306
5/30/2018,14.29015821,0.676650825,89.0207,21.18529975,9.05806,38.76306
5/31/2018,14.35141843,0.742993724,89.26979179,24.41682981,9.05806,38.76306
6/1/2018,14.46616643,0.479585523,89.13589202,27.9456526,9.05806,38.76306
6/2/2018,14.37226067,0.396894862,89.3287481,20.99997699,9.05806,38.76306
6/3/2018,14.3178758,0.499955616,88.37523643,19.43039596,9.05806,38.76306
6/4/2018,14.58484421,0.51518782,89.61042924,30.67309431,9.05806,38.76306
6/5/2018,14.34605433,1.067544943,89.04824359,21.60674895,9.05806,38.76306
6/6/2018,13.74954185,0.542835465,91.0730091,53.95392521,9.05806,38.76306
6/7/2018,13.48561948,0.904037204,90.20098378,13.49988448,9.05806,38.76306
6/8/2018,14.0495856,1.190182866,87.72513638,7.312720076,9.05806,38.76306
6/9/2018,14.36304563,0.953407312,88.94062273,8.833155036,9.05806,38.76306
6/10/2018,13.98339551,0.480771562,87.70945777,15.14255521,9.05806,38.76306
6/11/2018,14.44809812,0.794125369,84.33463387,14.39976448,9.05806,38.76306
