centroid_lat,centroid_lon,road_density_km_km2,urban_cover_percent
8.964151631,38.64446214,0.327120285,0
8.973196561,38.64445334,7.448137263,0
8.964160265,38.6535591,13.67431632,12.55289791
8.973205204,38.65355052,24.73037704,37.75192484
8.982250139,38.65354194,0,66.12861921
9.000339996,38.65352474,3.543997391,0
9.009384917,38.65351613,0,0
8.964168674,38.66265606,29.48838302,83.91944023
8.973213623,38.66264771,56.49426473,93.31163333
8.982258566,38.66263935,29.16591395,46.47799105
8.991303505,38.66263099,24.28412645,78.0648627
9.00034844,38.66262261,13.95517805,22.26244605
9.00939337,38.66261422,8.644635608,32.03643064
8.9551319,38.67176115,1.6733393,100
8.964176861,38.67175304,42.96476029,91.98428528
8.973221817,38.67174491,40.31060225,77.38442031
8.982266769,38.67173678,47.51672743,100
8.991311717,38.67172864,54.1957602,89.71704311
9.00035666,38.67172049,56.25630077,91.65942035
9.009401599,38.67171233,44.87988887,60.06372341
9.018446533,38.67170416,32.67325261,83.83590518
9.027491463,38.67169598,20.09634389,31.17448424
9.036536388,38.6716878,11.01743189,85.58250396
9.045581309,38.67167961,0,0.353290235
8.937049903,38.68087367,4.070277201,36.0182476
8.946094881,38.6808658,23.30446195,92.05457884
8.955139854,38.68085791,20.11735355,88.14120759
8.964184823,38.68085002,21.62006774,64.93112592
8.973229788,38.68084212,30.99726838,99.83512791
8.982274748,38.68083421,35.03236031,100
8.991319704,38.6808263,51.23625865,89.9636872
9.000364655,38.68081837,60.62752172,91.12106722
9.009409602,38.68081044,49.97340545,77.49128043
9.018454544,38.6808025,45.39252111,64.83545346
9.027499482,38.68079455,34.74828664,42.5093214
9.036544416,38.68078659,21.82747594,16.97758809
9.045589345,38.68077863,15.12563955,38.8315809
9.05463427,38.68077065,0.719615448,16.04264536
9.06367919,38.68076267,0.28431242,32.09121489
9.072724105,38.68075468,0,6.108344044
8.937057618,38.68996999,2.603505222,13.10988452
8.946102603,38.68996234,48.71145435,99.88716364
8.955147585,38.68995468,39.11340196,88.00198218
8.964192562,38.68994701,32.11400699,77.62673516
8.973237534,38.68993934,35.03103131,68.48114869
8.982282502,38.68993166,42.2179904,100
8.991327466,38.68992397,48.57248407,64.83286959
9.000372425,38.68991627,55.04631232,77.47131463
9.00941738,38.68990856,42.55566202,70.42251313
9.018462331,38.68990085,45.1219939,63.57903708
9.027507276,38.68989312,30.23243761,66.29008583
9.036552218,38.68988539,48.91284883,17.95232192
9.045597155,38.68987765,40.54068088,21.11737794
9.054642088,38.68986991,51.31915043,70.96947307
9.063687016,38.68986215,48.96412709,79.64704426
